Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
NLRP6,-0.58,0.1354,0.9994,0.868381336,Similar
B4GALNT4,0.01156,0.9655,0.9994,0.015247722,Similar
PKP3,-0.3084,0.4127,0.9994,0.384365531,Similar
SIGIRR,-0.2717,0.3748,0.9994,0.426200418,Similar
ANO9,-0.1088,0.7361,0.9994,0.133063182,Similar
PTDSS2,-0.02737,0.8768,0.9994,0.057099459,Similar
RNH1,-0.01449,0.9354,0.9994,0.029002634,Similar
HRAS,0.1087,0.5248,0.9994,0.280006174,Similar
LRRC56,-0.05996,0.8477,0.9994,0.071757817,Similar
C11orf35,-0.4253,0.2539,0.9994,0.595337299,Similar
RASSF7,-0.2345,0.388,0.9994,0.411168274,Similar
MIR210HG,-0.11,0.7754,0.9994,0.110474203,Similar
MIR210,0.03552,0.9215,0.9994,0.03550466,Similar
LOC143666,0.1747,0.6188,0.9994,0.208449695,Similar
PHRF1,-0.08131,0.5591,0.9994,0.252510508,Similar
IRF7,-0.3803,0.2664,0.9994,0.57446578,Similar
CDHR5,0.1863,0.6322,0.9994,0.199145508,Similar
SCT,-0.1391,0.7166,0.9994,0.144723196,Similar
DRD4,0.3448,0.3495,0.9994,0.45655282,Similar
DEAF1,0.0647,0.7282,0.9994,0.137749325,Similar
TMEM80,-0.02866,0.9276,0.9994,0.03263926,Similar
EPS8L2,0.1,0.7171,0.9994,0.144420277,Similar
TALDO1,-0.09595,0.6645,0.9994,0.177505015,Similar
PDDC1,-0.08837,0.5252,0.9994,0.279675283,Similar
NS3BP,-0.1715,0.631,0.9994,0.199970641,Similar
CEND1,0.2935,0.2666,0.9994,0.574139855,Similar
SLC25A22,0.1535,0.2952,0.9994,0.529883647,Similar
PIDD,-0.2576,0.4551,0.9994,0.341893164,Similar
RPLP2,-0.3,0.2904,0.9994,0.537003388,Similar
SNORA52,-0.04304,0.9114,0.9994,0.040290976,Similar
POLR2L,-0.1541,0.5921,0.9994,0.227604939,Similar
TSPAN4,-0.1353,0.4523,0.9994,0.344573412,Similar
CHID1,-0.003457,0.975,0.9994,0.010995384,Similar
AP2A2,-0.003442,0.9812,0.9994,0.00824246,Similar
MUC6,-0.2063,0.546,0.9994,0.262807357,Similar
MUC2,-0.0367,0.9061,0.9994,0.04282387,Similar
MUC5B,-0.1256,0.7487,0.9994,0.125692167,Similar
TOLLIP,0.1321,0.2478,0.9994,0.605898698,Similar
LOC255512,0.03059,0.9193,0.9994,0.03654274,Similar
BRSK2,0.2861,0.3632,0.9994,0.43985416,Similar
MOB2,0.02685,0.8903,0.9994,0.050463627,Similar
DUSP8,0.2049,0.5991,0.9994,0.22250068,Similar
LOC338651,0.4203,0.243,0.9994,0.614393726,Similar
CTSD,-0.2189,0.1646,0.9994,0.783570169,Similar
MRPL23,-0.01641,0.9572,0.9994,0.01899731,Similar
MRPL23-AS1,-0.1047,0.7876,0.9994,0.103694293,Similar
TH,0.07458,0.8425,0.9994,0.07443009,Similar
ASCL2,-0.1326,0.7297,0.9994,0.136855654,Similar
C11orf21,0.0848,0.791,0.9994,0.101823517,Similar
TSPAN32,0.05945,0.8742,0.9994,0.058389198,Similar
TSSC4,0.1989,0.134,0.9994,0.872895202,Similar
TRPM5,-0.0977,0.7897,0.9994,0.102537862,Similar
KCNQ1,-0.2462,0.4941,0.9994,0.306185146,Similar
KCNQ1DN,0.4188,0.2845,0.9994,0.545917729,Similar
CDKN1C,-0.2524,0.4543,0.9994,0.342657263,Similar
SLC22A18AS,-0.08479,0.8284,0.9994,0.08175991,Similar
SLC22A18,-0.3301,0.3101,0.9994,0.508498234,Similar
PHLDA2,-0.3119,0.4078,0.9994,0.389552779,Similar
NAP1L4,0.1749,0.3455,0.9994,0.461551948,Similar
